Prime benchmark, run Fri Nov  4 11:59:27 2016

CPU: 8 hardware threads
GPGPU: GeForce GTX 960, CUDA 5.2, 4037 Mbytes global memory, 1024 CUDA cores
Algorithm                        nprimes      time(sec)        speedup
------------------------------------------------------------
Sequential                          9593  16.3223762490   1.0000000000
Cuda - Coarse: 1 warp               9593   0.4721437100  34.5707798356
Cuda - Coarse: 16 warps             9593   0.3603619050  45.2943999425
Cuda - Coarse: 32 warps             9593   0.3509823310  46.5048374442
Cuda - Fine: 1 warp                 9593   0.7293069190  22.3806683080
Cuda - Fine: 16 warps               9593   0.7302291020  22.3524044772
Cuda - Fine: 32 warps               9593   0.7821951470  20.8673964696
Cuda - Hybrid: 1 warp               9593   0.3322181990  49.1314933934
Cuda - Hybrid: 16 warps             9593   0.3298961400  49.4773180705
Cuda - Hybrid: 32 warps             9593   0.3323762280  49.1081337163
Omp (Dynamic, 1)                    9593   3.3157300950   4.9227095636
Omp (Dynamic, 10)                   9593   3.3142019710   4.9249793440
Omp (Static, 1)                     9593   3.1235372360   5.2256064250
Omp (Static, 10)                    9593   2.9548379020   5.5239498038
